checking_account_status,duration_month,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,dependents,telephone,foreign_worker,target,default_risk,risk_label
< 0 DM,36,Critical account / other credits,Furniture/equipment,5371,< 100 DM,1-4 years,3,A93,A103,2,Savings/life insurance,28,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,18,Critical account / other credits,Radio/television,1582,>= 1000 DM,>= 7 years,4,A93,A101,4,Car or other,46,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,6,Existing credits paid back duly,Radio/television,1346,100-500 DM,>= 7 years,2,A93,A101,4,Unknown / no property,42,A141,Free,1,Skilled employee,2,A192,A201,1,0,Good Credit
No checking account,10,Existing credits paid back duly,Radio/television,1924,< 100 DM,1-4 years,1,A93,A101,4,Savings/life insurance,38,A143,Own,1,Skilled employee,1,A192,A202,1,0,Good Credit
>= 200 DM,36,Existing credits paid back duly,Radio/television,5848,< 100 DM,1-4 years,4,A93,A101,1,Car or other,24,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,24,Critical account / other credits,Used car,7758,>= 1000 DM,>= 7 years,2,A92,A101,4,Unknown / no property,29,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,24,Delay in past payments,Business,6967,100-500 DM,4-7 years,4,A93,A101,4,Car or other,36,A143,Rent,1,Management / self-employed,1,A192,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Furniture/equipment,1282,< 100 DM,1-4 years,2,A92,A101,4,Car or other,20,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,9,Critical account / other credits,Repairs,1288,100-500 DM,>= 7 years,3,A93,A103,4,Real estate,48,A143,Own,2,Skilled employee,2,A191,A202,1,0,Good Credit
< 0 DM,12,All credits at this bank paid back,Retraining,339,< 100 DM,>= 7 years,4,A94,A101,1,Car or other,45,A141,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,24,Existing credits paid back duly,New car,3512,100-500 DM,4-7 years,2,A93,A101,3,Car or other,38,A141,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,6,Critical account / other credits,Radio/television,1898,Unknown / no savings,1-4 years,1,A93,A101,2,Real estate,34,A143,Own,2,Unskilled resident,2,A191,A201,1,0,Good Credit
No checking account,24,Critical account / other credits,Radio/television,2872,100-500 DM,>= 7 years,3,A93,A101,4,Real estate,36,A143,Own,1,Skilled employee,2,A192,A201,1,0,Good Credit
No checking account,18,Critical account / other credits,New car,1055,< 100 DM,< 1 year,4,A92,A101,1,Savings/life insurance,30,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,15,Existing credits paid back duly,Domestic appliances,1262,500-1000 DM,4-7 years,4,A93,A101,3,Savings/life insurance,36,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,10,Existing credits paid back duly,New car,7308,< 100 DM,Unemployed,2,A93,A101,4,Unknown / no property,70,A141,Free,1,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,36,Existing credits paid back duly,New car,909,500-1000 DM,>= 7 years,4,A93,A101,4,Savings/life insurance,36,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,6,Existing credits paid back duly,Furniture/equipment,2978,500-1000 DM,1-4 years,1,A93,A101,2,Car or other,32,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,18,Existing credits paid back duly,Furniture/equipment,1131,< 100 DM,Unemployed,4,A92,A101,2,Car or other,33,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,11,Existing credits paid back duly,Furniture/equipment,1577,>= 1000 DM,< 1 year,4,A92,A101,1,Real estate,20,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Furniture/equipment,3972,< 100 DM,4-7 years,2,A92,A101,4,Savings/life insurance,25,A143,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,24,Critical account / other credits,Business,1935,< 100 DM,>= 7 years,4,A91,A101,4,Real estate,31,A143,Own,2,Skilled employee,1,A192,A201,2,1,Bad Credit
< 0 DM,15,No credits / paid back duly,New car,950,< 100 DM,>= 7 years,4,A93,A101,3,Car or other,33,A143,Rent,2,Skilled employee,2,A191,A201,2,1,Bad Credit
No checking account,12,Existing credits paid back duly,Furniture/equipment,763,< 100 DM,1-4 years,4,A92,A101,1,Real estate,26,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,24,Delay in past payments,Furniture/equipment,2064,< 100 DM,Unemployed,3,A92,A101,2,Savings/life insurance,34,A143,Own,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
0-200 DM,8,Existing credits paid back duly,Radio/television,1414,< 100 DM,1-4 years,4,A93,A103,2,Real estate,33,A143,Own,1,Skilled employee,1,A191,A202,1,0,Good Credit
< 0 DM,21,Delay in past payments,Education,3414,< 100 DM,< 1 year,2,A93,A101,1,Savings/life insurance,26,A143,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,30,All credits at this bank paid back,Used car,7485,Unknown / no savings,Unemployed,4,A92,A101,1,Real estate,53,A141,Own,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
< 0 DM,12,Existing credits paid back duly,Furniture/equipment,2577,< 100 DM,1-4 years,2,A91,A101,1,Car or other,42,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,6,Critical account / other credits,Radio/television,338,500-1000 DM,>= 7 years,4,A93,A101,4,Car or other,52,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Radio/television,1963,< 100 DM,4-7 years,4,A93,A101,2,Car or other,31,A143,Rent,2,Management / self-employed,2,A192,A201,1,0,Good Credit
< 0 DM,21,Critical account / other credits,New car,571,< 100 DM,>= 7 years,4,A93,A101,4,Real estate,65,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,36,Delay in past payments,Business,9572,< 100 DM,< 1 year,1,A91,A101,1,Car or other,28,A143,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,36,Delay in past payments,Business,4455,< 100 DM,1-4 years,2,A91,A101,2,Real estate,30,A142,Own,2,Management / self-employed,1,A192,A201,2,1,Bad Credit
< 0 DM,21,All credits at this bank paid back,New car,1647,Unknown / no savings,1-4 years,4,A93,A101,2,Savings/life insurance,40,A143,Own,2,Unskilled resident,2,A191,A201,2,1,Bad Credit
No checking account,24,Critical account / other credits,Furniture/equipment,3777,>= 1000 DM,1-4 years,4,A93,A101,4,Real estate,50,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,18,Critical account / other credits,New car,884,< 100 DM,>= 7 years,4,A93,A101,4,Car or other,36,A141,Own,1,Skilled employee,2,A192,A201,2,1,Bad Credit
No checking account,15,Critical account / other credits,Radio/television,1360,< 100 DM,1-4 years,4,A93,A101,2,Savings/life insurance,31,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,9,All credits at this bank paid back,Used car,5129,< 100 DM,>= 7 years,2,A92,A101,4,Unknown / no property,74,A141,Free,1,Management / self-employed,2,A192,A201,2,1,Bad Credit
0-200 DM,16,Critical account / other credits,New car,1175,< 100 DM,Unemployed,2,A93,A101,3,Car or other,68,A143,Free,3,Unemployed / unskilled non-resident,1,A192,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Radio/television,674,100-500 DM,4-7 years,4,A94,A101,1,Savings/life insurance,20,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,18,No credits / paid back duly,Furniture/equipment,3244,< 100 DM,1-4 years,1,A92,A101,4,Car or other,33,A141,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Business,4591,>= 1000 DM,1-4 years,2,A93,A101,3,Savings/life insurance,54,A143,Own,3,Management / self-employed,1,A192,A201,2,1,Bad Credit
0-200 DM,48,No credits / paid back duly,Business,3844,100-500 DM,4-7 years,4,A93,A101,4,Unknown / no property,34,A143,Free,1,Unskilled resident,2,A191,A201,2,1,Bad Credit
0-200 DM,27,Existing credits paid back duly,Business,3915,< 100 DM,1-4 years,4,A93,A101,2,Car or other,36,A143,Own,1,Skilled employee,2,A192,A201,2,1,Bad Credit
No checking account,6,Existing credits paid back duly,Radio/television,2108,< 100 DM,4-7 years,2,A94,A101,2,Real estate,29,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,45,Existing credits paid back duly,Radio/television,3031,100-500 DM,1-4 years,4,A93,A103,4,Savings/life insurance,21,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,9,Critical account / other credits,Education,1501,< 100 DM,>= 7 years,2,A92,A101,3,Car or other,34,A143,Own,2,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,6,Critical account / other credits,Radio/television,1382,< 100 DM,1-4 years,1,A92,A101,1,Car or other,28,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Furniture/equipment,951,100-500 DM,< 1 year,4,A92,A101,4,Car or other,27,A141,Rent,4,Skilled employee,1,A191,A201,2,1,Bad Credit
0-200 DM,24,Existing credits paid back duly,Used car,2760,Unknown / no savings,>= 7 years,4,A93,A101,4,Unknown / no property,36,A141,Free,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,18,Delay in past payments,Furniture/equipment,4297,< 100 DM,>= 7 years,4,A91,A101,3,Unknown / no property,40,A143,Own,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,9,Critical account / other credits,Education,936,500-1000 DM,>= 7 years,4,A93,A101,2,Car or other,52,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,New car,1168,< 100 DM,1-4 years,4,A94,A101,3,Real estate,27,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,27,Delay in past payments,Business,5117,< 100 DM,4-7 years,3,A93,A101,4,Car or other,26,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Retraining,902,< 100 DM,4-7 years,4,A94,A101,4,Savings/life insurance,21,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,12,Critical account / other credits,New car,1495,< 100 DM,>= 7 years,4,A93,A101,1,Real estate,38,A143,Own,2,Unskilled resident,2,A191,A201,1,0,Good Credit
< 0 DM,30,Critical account / other credits,Used car,10623,< 100 DM,>= 7 years,3,A93,A101,4,Unknown / no property,38,A143,Free,3,Management / self-employed,2,A192,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Furniture/equipment,1935,< 100 DM,>= 7 years,4,A93,A101,4,Real estate,43,A143,Own,3,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,12,Critical account / other credits,Domestic appliances,1424,< 100 DM,4-7 years,4,A93,A101,3,Savings/life insurance,26,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,Business,6568,< 100 DM,1-4 years,2,A94,A101,2,Car or other,21,A142,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Used car,1413,>= 1000 DM,4-7 years,3,A93,A101,2,Savings/life insurance,55,A143,Own,1,Skilled employee,1,A191,A202,1,0,Good Credit
No checking account,9,Critical account / other credits,Radio/television,3074,Unknown / no savings,1-4 years,1,A93,A101,2,Real estate,33,A143,Own,2,Skilled employee,2,A191,A201,1,0,Good Credit
No checking account,36,Existing credits paid back duly,Radio/television,3835,Unknown / no savings,>= 7 years,2,A92,A101,4,Real estate,45,A143,Own,1,Unskilled resident,1,A192,A201,1,0,Good Credit
< 0 DM,27,No credits / paid back duly,Business,5293,< 100 DM,Unemployed,2,A93,A101,4,Savings/life insurance,50,A142,Own,2,Skilled employee,1,A192,A201,2,1,Bad Credit
>= 200 DM,30,Delay in past payments,Business,1908,< 100 DM,>= 7 years,4,A93,A101,4,Real estate,66,A143,Own,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,36,Critical account / other credits,Radio/television,3342,Unknown / no savings,>= 7 years,4,A93,A101,2,Car or other,51,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,6,Critical account / other credits,Retraining,932,Unknown / no savings,4-7 years,1,A92,A101,3,Savings/life insurance,39,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,18,No credits / paid back duly,Business,3104,< 100 DM,4-7 years,3,A93,A101,1,Savings/life insurance,31,A141,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
>= 200 DM,36,Existing credits paid back duly,Radio/television,3913,< 100 DM,1-4 years,2,A93,A101,2,Real estate,23,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,Furniture/equipment,3021,< 100 DM,1-4 years,2,A91,A101,2,Real estate,24,A143,Rent,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,10,Existing credits paid back duly,New car,1364,< 100 DM,1-4 years,2,A92,A101,4,Car or other,64,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Radio/television,625,< 100 DM,< 1 year,4,A94,A103,1,Real estate,26,A141,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Education,1200,Unknown / no savings,1-4 years,4,A92,A101,4,Savings/life insurance,23,A141,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Radio/television,707,< 100 DM,1-4 years,4,A93,A101,2,Real estate,30,A141,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Delay in past payments,Business,2978,Unknown / no savings,1-4 years,4,A93,A101,4,Real estate,32,A143,Own,2,Skilled employee,2,A192,A201,1,0,Good Credit
No checking account,15,Existing credits paid back duly,Used car,4657,< 100 DM,1-4 years,3,A93,A101,2,Car or other,30,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,36,No credits / paid back duly,Repairs,2613,< 100 DM,1-4 years,4,A93,A101,2,Car or other,27,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,48,Existing credits paid back duly,Radio/television,10961,>= 1000 DM,4-7 years,1,A93,A102,2,Unknown / no property,27,A141,Own,2,Skilled employee,1,A192,A201,2,1,Bad Credit
< 0 DM,12,Existing credits paid back duly,Furniture/equipment,7865,< 100 DM,>= 7 years,4,A93,A101,4,Unknown / no property,53,A143,Free,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
No checking account,9,Existing credits paid back duly,Radio/television,1478,< 100 DM,4-7 years,4,A93,A101,2,Car or other,22,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,24,Existing credits paid back duly,Furniture/equipment,3149,< 100 DM,< 1 year,4,A93,A101,1,Unknown / no property,22,A141,Free,1,Skilled employee,1,A191,A201,1,0,Good Credit
>= 200 DM,36,Existing credits paid back duly,Radio/television,4210,< 100 DM,1-4 years,4,A93,A101,2,Car or other,26,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,9,Existing credits paid back duly,New car,2507,500-1000 DM,>= 7 years,2,A93,A101,4,Unknown / no property,51,A143,Free,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Radio/television,2141,100-500 DM,4-7 years,3,A93,A101,1,Unknown / no property,35,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,18,Existing credits paid back duly,Radio/television,866,< 100 DM,1-4 years,4,A94,A103,2,Real estate,25,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,4,Critical account / other credits,Radio/television,1544,< 100 DM,4-7 years,2,A93,A101,1,Real estate,42,A143,Own,3,Unskilled resident,2,A191,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,Radio/television,1823,< 100 DM,Unemployed,4,A93,A101,2,Car or other,30,A142,Own,1,Management / self-employed,2,A191,A201,2,1,Bad Credit
0-200 DM,6,Existing credits paid back duly,New car,14555,Unknown / no savings,Unemployed,1,A93,A101,2,Savings/life insurance,23,A143,Own,1,Unemployed / unskilled non-resident,1,A192,A201,2,1,Bad Credit
0-200 DM,21,Existing credits paid back duly,Business,2767,100-500 DM,>= 7 years,4,A91,A101,2,Car or other,61,A141,Rent,2,Unskilled resident,1,A191,A201,2,1,Bad Credit
No checking account,12,Critical account / other credits,Radio/television,1291,< 100 DM,1-4 years,4,A92,A101,2,Savings/life insurance,35,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,30,Existing credits paid back duly,Radio/television,2522,< 100 DM,>= 7 years,1,A93,A103,3,Savings/life insurance,39,A143,Own,1,Skilled employee,2,A191,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,New car,915,Unknown / no savings,>= 7 years,4,A92,A101,2,Car or other,29,A141,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,6,Existing credits paid back duly,Radio/television,1595,< 100 DM,4-7 years,3,A93,A101,2,Savings/life insurance,51,A143,Own,1,Skilled employee,2,A191,A201,1,0,Good Credit
< 0 DM,48,No credits / paid back duly,Used car,4605,< 100 DM,>= 7 years,3,A93,A101,4,Unknown / no property,24,A143,Free,2,Skilled employee,2,A191,A201,2,1,Bad Credit
No checking account,12,Critical account / other credits,Business,1185,< 100 DM,1-4 years,3,A92,A101,2,Real estate,27,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,12,All credits at this bank paid back,Retraining,3447,500-1000 DM,1-4 years,4,A92,A101,3,Real estate,35,A143,Own,1,Unskilled resident,2,A191,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Business,1258,< 100 DM,4-7 years,4,A93,A101,1,Real estate,25,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Radio/television,717,< 100 DM,>= 7 years,4,A93,A101,4,Real estate,52,A143,Own,3,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,6,No credits / paid back duly,New car,1204,100-500 DM,1-4 years,4,A93,A101,1,Unknown / no property,35,A141,Rent,1,Skilled employee,1,A191,A202,1,0,Good Credit
>= 200 DM,24,Existing credits paid back duly,Furniture/equipment,1925,< 100 DM,1-4 years,2,A93,A101,2,Real estate,26,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,Radio/television,433,< 100 DM,Unemployed,3,A92,A102,4,Real estate,22,A143,Rent,1,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,6,Critical account / other credits,New car,666,>= 1000 DM,4-7 years,3,A92,A101,4,Real estate,39,A143,Own,2,Unskilled resident,1,A192,A201,1,0,Good Credit
>= 200 DM,12,Existing credits paid back duly,Furniture/equipment,2251,< 100 DM,1-4 years,1,A92,A101,2,Car or other,46,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
0-200 DM,30,Existing credits paid back duly,New car,2150,< 100 DM,1-4 years,4,A92,A103,2,Unknown / no property,24,A141,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,24,Delay in past payments,Furniture/equipment,4151,100-500 DM,1-4 years,2,A93,A101,3,Savings/life insurance,35,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,9,Existing credits paid back duly,Furniture/equipment,2030,Unknown / no savings,4-7 years,2,A93,A101,1,Car or other,24,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,60,Delay in past payments,Radio/television,7418,Unknown / no savings,1-4 years,1,A93,A101,1,Real estate,27,A143,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,24,Critical account / other credits,Radio/television,2684,< 100 DM,1-4 years,4,A93,A101,2,Real estate,35,A143,Own,2,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,12,All credits at this bank paid back,Radio/television,2149,< 100 DM,1-4 years,4,A91,A101,1,Unknown / no property,29,A143,Free,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,15,Existing credits paid back duly,Used car,3812,100-500 DM,< 1 year,1,A92,A101,4,Car or other,23,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,11,Critical account / other credits,Radio/television,1154,100-500 DM,Unemployed,4,A92,A101,4,Real estate,57,A143,Own,3,Unskilled resident,1,A191,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Furniture/equipment,1657,< 100 DM,1-4 years,2,A93,A101,2,Real estate,27,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,24,Existing credits paid back duly,Radio/television,1603,< 100 DM,>= 7 years,4,A92,A101,4,Car or other,55,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,18,Critical account / other credits,New car,5302,< 100 DM,>= 7 years,2,A93,A101,4,Unknown / no property,36,A143,Free,3,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,12,Critical account / other credits,Education,2748,< 100 DM,>= 7 years,2,A92,A101,4,Unknown / no property,57,A141,Free,3,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,10,Critical account / other credits,New car,1231,< 100 DM,>= 7 years,3,A93,A101,4,Real estate,32,A143,Own,2,Unskilled resident,2,A191,A202,1,0,Good Credit
0-200 DM,15,Existing credits paid back duly,Radio/television,802,< 100 DM,>= 7 years,4,A93,A101,3,Car or other,37,A143,Own,1,Skilled employee,2,A191,A201,2,1,Bad Credit
No checking account,36,Critical account / other credits,Business,6304,Unknown / no savings,>= 7 years,4,A93,A101,4,Real estate,36,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,24,Existing credits paid back duly,Radio/television,1533,< 100 DM,< 1 year,4,A92,A101,3,Car or other,38,A142,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,14,Existing credits paid back duly,New car,8978,< 100 DM,>= 7 years,1,A91,A101,4,Savings/life insurance,45,A143,Own,1,Management / self-employed,1,A192,A202,2,1,Bad Credit
No checking account,24,Existing credits paid back duly,Radio/television,999,Unknown / no savings,>= 7 years,4,A93,A101,2,Car or other,25,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,18,Existing credits paid back duly,New car,2662,Unknown / no savings,4-7 years,4,A93,A101,3,Savings/life insurance,32,A143,Own,1,Skilled employee,1,A191,A202,1,0,Good Credit
No checking account,12,Critical account / other credits,Furniture/equipment,1402,500-1000 DM,4-7 years,3,A92,A101,4,Car or other,37,A143,Rent,1,Skilled employee,1,A192,A201,1,0,Good Credit
0-200 DM,48,All credits at this bank paid back,New car,12169,Unknown / no savings,Unemployed,4,A93,A102,4,Unknown / no property,36,A143,Free,1,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,48,Existing credits paid back duly,Radio/television,3060,< 100 DM,4-7 years,4,A93,A101,4,Real estate,28,A143,Own,2,Skilled employee,1,A191,A201,2,1,Bad Credit
< 0 DM,30,Existing credits paid back duly,Repairs,11998,< 100 DM,< 1 year,1,A91,A101,1,Unknown / no property,34,A143,Own,1,Unskilled resident,1,A192,A201,2,1,Bad Credit
No checking account,9,Existing credits paid back duly,Radio/television,2697,< 100 DM,1-4 years,1,A93,A101,2,Real estate,32,A143,Own,1,Skilled employee,2,A191,A201,1,0,Good Credit
No checking account,18,Critical account / other credits,Radio/television,2404,< 100 DM,1-4 years,2,A92,A101,2,Car or other,26,A143,Own,2,Skilled employee,1,A191,A201,1,0,Good Credit
< 0 DM,12,Existing credits paid back duly,Furniture/equipment,1262,Unknown / no savings,>= 7 years,2,A91,A101,4,Savings/life insurance,49,A143,Own,1,Unskilled resident,1,A192,A201,1,0,Good Credit
No checking account,6,Existing credits paid back duly,Furniture/equipment,4611,< 100 DM,< 1 year,1,A92,A101,4,Savings/life insurance,32,A143,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,24,Existing credits paid back duly,Radio/television,1901,100-500 DM,1-4 years,4,A93,A101,4,Car or other,29,A143,Rent,1,Management / self-employed,1,A192,A201,1,0,Good Credit
No checking account,15,Critical account / other credits,Used car,3368,>= 1000 DM,>= 7 years,3,A93,A101,4,Unknown / no property,23,A143,Rent,2,Skilled employee,1,A192,A201,1,0,Good Credit
No checking account,12,Existing credits paid back duly,Furniture/equipment,1574,< 100 DM,1-4 years,4,A93,A101,2,Real estate,50,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
>= 200 DM,18,All credits at this bank paid back,Radio/television,1445,Unknown / no savings,4-7 years,4,A93,A101,4,Car or other,49,A141,Own,1,Unskilled resident,1,A191,A201,1,0,Good Credit
No checking account,15,Critical account / other credits,Furniture/equipment,1520,Unknown / no savings,>= 7 years,4,A93,A101,4,Savings/life insurance,63,A143,Own,1,Skilled employee,1,A191,A201,1,0,Good Credit
0-200 DM,24,Critical account / other credits,New car,3878,100-500 DM,< 1 year,4,A91,A101,2,Car or other,37,A143,Own,1,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,47,Existing credits paid back duly,New car,10722,< 100 DM,< 1 year,1,A92,A101,1,Real estate,35,A143,Own,1,Unskilled resident,1,A192,A201,1,0,Good Credit
< 0 DM,48,Existing credits paid back duly,Used car,4788,< 100 DM,4-7 years,4,A93,A101,3,Savings/life insurance,26,A143,Own,1,Skilled employee,2,A191,A201,1,0,Good Credit
0-200 DM,48,Delay in past payments,Other,7582,100-500 DM,Unemployed,2,A93,A101,4,Unknown / no property,31,A143,Free,1,Management / self-employed,1,A192,A201,1,0,Good Credit
0-200 DM,12,Existing credits paid back duly,Radio/television,1092,< 100 DM,1-4 years,4,A92,A103,4,Real estate,49,A143,Own,2,Skilled employee,1,A192,A201,1,0,Good Credit
< 0 DM,24,Delay in past payments,Radio/television,1024,< 100 DM,< 1 year,4,A94,A101,4,Real estate,48,A142,Own,1,Skilled employee,1,A191,A201,2,1,Bad Credit
No checking account,12,Existing credits paid back duly,Business,1076,< 100 DM,1-4 years,2,A94,A101,2,Real estate,26,A143,Own,1,Skilled employee,1,A192,A202,1,0,Good Credit
0-200 DM,36,Existing credits paid back duly,Used car,9398,< 100 DM,< 1 year,1,A94,A101,4,Car or other,28,A143,Rent,1,Management / self-employed,1,A192,A201,2,1,Bad Credit
< 0 DM,24,Critical account / other credits,Used car,6419,< 100 DM,>= 7 years,2,A92,A101,4,Unknown / no property,44,A143,Free,2,Management / self-employed,2,A192,A201,1,0,Good Credit
>= 200 DM,42,Critical account / other credits,Used car,4796,< 100 DM,>= 7 years,4,A93,A101,4,Unknown / no property,56,A143,Free,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,48,Critical account / other credits,Business,7629,Unknown / no savings,>= 7 years,4,A91,A101,2,Car or other,46,A141,Own,2,Management / self-employed,2,A191,A201,1,0,Good Credit
0-200 DM,48,Existing credits paid back duly,Furniture/equipment,9960,< 100 DM,< 1 year,1,A92,A101,2,Car or other,26,A143,Own,1,Skilled employee,1,A192,A201,2,1,Bad Credit
No checking account,12,Existing credits paid back duly,Used car,4675,Unknown / no savings,< 1 year,1,A92,A101,4,Car or other,20,A143,Rent,1,Skilled employee,1,A191,A201,1,0,Good Credit
No checking account,10,Existing credits paid back duly,New car,1287,Unknown / no savings,>= 7 years,4,A93,A102,2,Savings/life insurance,45,A143,Own,1,Unskilled resident,1,A191,A202,1,0,Good Credit
